                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49849364 |  136104842 |          0 |  136134302
  Cycles                             |  125605600 |  125605600 |  125605600 |  125605600
  IPC                                |       0.40 |       1.08 |       0.00 |       1.08
  Time (ns)                          |   31401400 |   31401400 |   31401400 |   31401400
  Idle time (ns)                     |   23557583 |    7847181 |   31401400 |    8034952
  Idle time (%)                      |      75.0% |      25.0% |     100.0% |      25.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    8281512 |    7786562 |          0 |    7798334
  num incorrect                      |     507721 |     202010 |          0 |     191184
  misprediction rate                 |      5.78% |      2.53% |      0.00% |      2.39%
  mpki                               |      10.19 |       1.48 |       0.00 |       1.40
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573583 |   15827079 |          0 |   15831370
    num misses                       |        122 |         25 |          0 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17194731 |   40028710 |          0 |   40034949
    num misses                       |        420 |         76 |          0 |         95
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        542 |        101 |          0 |        120
    num misses                       |        300 |         98 |          0 |         99
    miss rate                        |     55.35% |     97.03% |      0.00% |     82.50%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573583 |   15827079 |          0 |   15831370
    num cache misses                 |       2413 |        152 |          0 |        151
    miss rate                        |      0.03% |      0.00% |       inf% |      0.00%
    mpki                             |       0.05 |       0.00 |        inf |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17194731 |   40028710 |          0 |   40034949
    num cache misses                 |      11005 |     125169 |          0 |     125363
    miss rate                        |      0.06% |      0.31% |       inf% |      0.31%
    mpki                             |       0.22 |       0.92 |        inf |       0.92
  Cache L2                           |            |            |            |           
    num cache accesses               |      13512 |     125323 |          0 |     125516
    num cache misses                 |      10189 |       1574 |          0 |       1588
    miss rate                        |     75.41% |      1.26% |       inf% |      1.27%
    mpki                             |       0.20 |       0.01 |        inf |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      10286 |       1577 |          0 |       1590
    num cache misses                 |       8714 |        270 |          0 |        396
    miss rate                        |     84.72% |     17.12% |       inf% |     24.91%
    mpki                             |       0.17 |       0.00 |        inf |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9364 |          0 |          0 |          0
  average dram access latency (ns)   |     546.28 |        inf |        inf |        inf
  average dram queueing delay        |     492.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2506 |        208 |          0 |        316
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
