                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49849392 |  136104842 |  136134303 |          0
  Cycles                             |  272454000 |  272454000 |  272454000 |  272454000
  IPC                                |       0.18 |       0.50 |       0.50 |       0.00
  Time (ns)                          |   68113500 |   68113500 |   68113500 |   68113500
  Idle time (ns)                     |   51442873 |   17464554 |   17936047 |   68113500
  Idle time (%)                      |      75.5% |      25.6% |      26.3% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8282206 |    7786860 |    7798441 |          0
  num incorrect                      |     507028 |     201712 |     191077 |          0
  misprediction rate                 |      5.77% |      2.53% |      2.39% |      0.00%
  mpki                               |      10.17 |       1.48 |       1.40 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573580 |   15827079 |   15831370 |          0
    num misses                       |        123 |         25 |         25 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17194742 |   40028710 |   40034949 |          0
    num misses                       |        482 |      83286 |     294490 |          0
    miss rate                        |      0.00% |      0.21% |      0.74% |      0.00%
    mpki                             |       0.01 |       0.61 |       2.16 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        605 |      83311 |     294515 |          0
    num misses                       |        298 |         97 |         99 |          0
    miss rate                        |     49.26% |      0.12% |      0.03% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573580 |   15827079 |   15831370 |          0
    num cache misses                 |       2412 |        152 |        151 |          0
    miss rate                        |      0.03% |      0.00% |      0.00% |       inf%
    mpki                             |       0.05 |       0.00 |       0.00 |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17194742 |   40028710 |   40034949 |          0
    num cache misses                 |      11004 |     125172 |     125364 |          0
    miss rate                        |      0.06% |      0.31% |      0.31% |       inf%
    mpki                             |       0.22 |       0.92 |       0.92 |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13510 |     125326 |     125519 |          0
    num cache misses                 |      10247 |       1577 |       1589 |          0
    miss rate                        |     75.85% |      1.26% |      1.27% |       inf%
    mpki                             |       0.21 |       0.01 |       0.01 |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10344 |       1579 |       1593 |          0
    num cache misses                 |       8715 |        258 |        392 |          0
    miss rate                        |     84.25% |     16.34% |     24.61% |       inf%
    mpki                             |       0.17 |       0.00 |       0.00 |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9365 |          0 |          0 |          0
  average dram access latency (ns)   |     541.09 |        inf |        inf |        inf
  average dram queueing delay        |     487.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2522 |        209 |        313 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
